"days - order","days - title","days - tournDay","days - events","days - quals","days - matches - order","days - matches - eventName","days - matches - eventCode","days - matches - eventDay","days - matches - eventSortOrder","days - matches - id","days - matches - crt","days - matches - crtId","days - matches - event","days - matches - round","days - matches - displayBrackets","days - matches - duration","days - matches - epoch","days - matches - epochLongDate","days - matches - epochShortTime","days - matches - clickCount","days - matches - stats","days - matches - session","days - matches - sessionStart","days - matches - status","days - matches - t1 - pA_last","days - matches - t1 - pA_first","days - matches - t1 - pA_tv_name","days - matches - t1 - pAid","days - matches - t1 - pAnat","days - matches - t1 - pB_last","days - matches - t1 - pB_first","days - matches - t1 - pB_tv_name","days - matches - t1 - pBid","days - matches - t1 - pBnat","days - matches - t1 - seed","days - matches - t1 - sw","days - matches - t1 - s1","days - matches - t1 - t1","days - matches - t1 - s2","days - matches - t1 - t2","days - matches - t1 - s3","days - matches - t1 - t3","days - matches - t1 - s4","days - matches - t1 - t4","days - matches - t1 - s5","days - matches - t1 - gs","days - matches - t1 - won","days - matches - t2 - pA_last","days - matches - t2 - pA_first","days - matches - t2 - pA_tv_name","days - matches - t2 - pAid","days - matches - t2 - pAnat","days - matches - t2 - pB_last","days - matches - t2 - pB_first","days - matches - t2 - pB_tv_name","days - matches - t2 - pBid","days - matches - t2 - pBnat","days - matches - t2 - seed","days - matches - t2 - sw","days - matches - t2 - s1","days - matches - t2 - t1","days - matches - t2 - s2","days - matches - t2 - t2","days - matches - t2 - s3","days - matches - t2 - t3","days - matches - t2 - s4","days - matches - t2 - t4","days - matches - t2 - s5","days - matches - t2 - gs","days - matches - t2 - won"
"","","","","","36","Boys' Singles","BS","17","F","21308","Court 10","K","Boys' Singles - Third Round","Third Round","0","0:50","1467784979000","Wednesday 06 July 2016","08:40am BST","2","true","1","11:00 AM","Complete","Sultonov","Khumoyun","K. Sultonov","atpsr81","UZB","","","","","","","0","4","","3","","","","","","","","false","Blanch","Ulises","U. Blanch","atpbv27","USA","","","","","","2","2","6","","6","","","","","","","","true"
"","","","","","37","Girls' Singles","GS","17","G","22305","Court 10","K","Girls' Singles - Third Round","Third Round","0","1:13","1467790833000","Wednesday 06 July 2016","09:51am BST","3","true","1","11.00","Complete","Andreescu","Bianca Vanessa","B. Andreescu","1000066353","CAN","","","","","","6","0","2","","2","","","","","","","","false","Arconada","Usue Maitane","U. Arconada","wta321195","USA","","","","","","9","2","6","","6","","","","","","","","true"
"","","","","","38","Boys' Doubles","BD","17","H","23114","Court 10","K","Boys' Doubles - First Round","First Round","0","0:48","1467795070000","Wednesday 06 July 2016","11:39am BST","1","true","1","11.00","Complete","Draper","Ben","B. Draper","1000066682","GBR","Molloy","Jack","J. Molloy","atpm0be","GBR","","0","3","","2","","","","","","","","false","Blanch","Ulises","U. Blanch","atpbv27","USA","Kirkov","Vasil","V. Kirkov","atpk0a4","USA","","2","6","","6","","","","","","","","true"
"","","","","","39","Girls' Doubles","GD","17","I","24115","Court 10","K","Girls' Doubles - First Round","First Round","0","1:24","1467801545000","Wednesday 06 July 2016","01:49pm BST","2","true","1","11.00","Complete","Pieri","Tatiana","T. Pieri","wta322735","ITA","Stefanini","Lucrezia","L. Stefanini","wta323149","ITA","","1","6","","2","","2","","","","","","false","Collins","Ali","A. Collins","wta324233","GBR","Jones","Francesca","F. Jones","wta324479","GBR","","2","4","","6","","6","","","","","","true"
"","","","","","40","Girls' Doubles","GD","17","I","24105","Court 10","K","Girls' Doubles - First Round","First Round","0","1:29","1467809358000","Wednesday 06 July 2016","07:52am BST","1","true","1","11.00","Complete","Arconada","Usue Maitane","U. Arconada","wta321195","USA","Liu","Claire","C. Liu","wta323966","USA","4","2","6","","2","","6","","","","","","true","Naito","Yuki","Y. Naito","1000071595","JPN","Salden","Lara","L. Salden","wta323485","BEL","","1","1","","6","","2","","","","","","false"
"","","","","","41","Boys' Singles","BS","17","F","21302","Court 14","O","Boys' Singles - Third Round","Third Round","0","1:41","1467787929000","Wednesday 06 July 2016","09:15am BST","1","true","1","11:00 AM","Complete","Karimov","Jurabek","J. Karimov","atpkg72","UZB","","","","","","11","2","7","7","6","","","","","","","","true","Watanuki","Yosuke","Y. Watanuki","atpwb08","JPN","","","","","","6","0","6","4","4","","","","","","","","false"
"","","","","","42","Girls' Singles","GS","17","G","22307","Court 14","O","Girls' Singles - Third Round","Third Round","0","1:01","1467792920000","Wednesday 06 July 2016","11:25am BST","1","true","1","11.00","Complete","Day","Kayla","K. Day","wta322534","USA","","","","","","5","2","6","","6","","","","","","","","true","Gracheva","Varvara","V. Gracheva","wta325836","RUS","","","","","","","0","3","","2","","","","","","","","false"
"","","","","","43","Boys' Doubles","BD","17","H","23106","Court 14","O","Boys' Doubles - First Round","First Round","0","1:44","1467800741000","Wednesday 06 July 2016","12:39pm BST","2","true","1","11.00","Complete","Blumberg","William","W. Blumberg","atpbt45","USA","Ponwith","Nathan","N. Ponwith","atpph67","USA","","1","4","","7","7","3","","","","","","false","Altmaier","Daniel","D. Altmaier","atpae14","GER","Karimov","Jurabek","J. Karimov","atpkg72","UZB","","2","6","","6","4","6","","","","","","true"
"","","","","","44","Girls' Doubles","GD","17","I","24104","Court 14","O","Girls' Doubles - First Round","First Round","0","0:56","1467805195000","Wednesday 06 July 2016","08:02am BST","1","true","1","11.00","Complete","Du","Zhima","Z. Du","1000064392","CHN","Zheng","Wushuang","W. Zheng","wta321329","CHN","","0","2","","3","","","","","","","","false","Day","Kayla","K. Day","wta322534","USA","Johnson","Taylor","T. Johnson","wta325783","USA","6","2","6","","6","","","","","","","","true"
"","","","","","45","Boys' Singles","BS","17","F","21307","Court 16","Q","Boys' Singles - Third Round","Third Round","0","1:54","1467788527000","Wednesday 06 July 2016","09:37am BST","1","true","1","11:00 AM","Complete","Blancaneaux","Geoffrey","G. Blancaneaux","atpbu54","FRA","","","","","","8","2","7","","1","","6","","","","","","true","Kecmanovic","Miomir","M. Kecmanovic","atpki95","SRB","","","","","","12","1","5","","6","","3","","","","","","false"
"","","","","","46","Girls' Singles","GS","17","G","22306","Court 16","Q","Girls' Singles - Third Round","Third Round","0","1:22","1467794243000","Wednesday 06 July 2016","10:55am BST","0","true","1","11.00","Complete","Zavatska","Katarina","K. Zavatska","wta324584","UKR","","","","","","14","0","4","","3","","","","","","","","false","Potapova","Anastasia","A. Potapova","wta325601","RUS","","","","","","4","2","6","","6","","","","","","","","true"
"","","","","","47","Boys' Doubles","BD","17","H","23102","Court 16","Q","Boys' Doubles - First Round","First Round","0","0:57","1467798935000","Wednesday 06 July 2016","12:10pm BST","1","true","1","11.00","Complete","Jalif","Juan Martin","J. Jalif","atpj728","ARG","Vittar","Francisco","F. Vittar","atpva36","ARG","","0","3","","2","","","","","","","","false","Wu","Tung-Lin","T. Wu","atpw857","TPE","Wu","Yibing","Y. Wu","atpwb32","CHN","","2","6","","6","","","","","","","","true"
"","","","","","48","Boys' Doubles","BD","17","H","23105","Court 16","Q","Boys' Doubles - First Round","First Round","0","0:56","1467803441000","Wednesday 06 July 2016","02:04pm BST","1","true","1","11.00","Complete","Kecmanovic","Miomir","M. Kecmanovic","atpki95","SRB","Ruud","Casper","C. Ruud","atprh16","NOR","3","2","6","","6","","","","","","","","true","Balzerani","Riccardo","R. Balzerani","atpbv17","ITA","Dalla Valle","Enrico","E. Dalla Valle","atpdg80","ITA","","0","1","","4","","","","","","","","false"
"","","","","","49","Girls' Doubles","GD","17","I","24116","Court 16","Q","Girls' Doubles - First Round","First Round","0","1:36","1467810255000","Wednesday 06 July 2016","07:15am BST","0","true","1","11.00","Complete","Gracheva","Varvara","V. Gracheva","wta325836","RUS","Rybakina","Elena","E. Rybakina","wta324166","RUS","","1","6","","4","","3","","","","","","false","Anisimova","Amanda","A. Anisimova","1000070674","USA","Sanford","Alexandra","A. Sanford","wta322467","USA","2","2","3","","6","","6","","","","","","true"
"","","","","","50","Boys' Singles","BS","17","F","21301","Court 17","R","Boys' Singles - Third Round","Third Round","0","1:04","1467785707000","Wednesday 06 July 2016","10:11am BST","3","true","1","11:00 AM","Complete","Tsitsipas","Stefanos","S. Tsitsipas","atpte51","GRE","","","","","","1","2","6","","6","","","","","","","","true","Furness","Evan","E. Furness","atpfc26","FRA","","","","","","","0","3","","3","","","","","","","","false"
"","","","","","51","Girls' Singles","GS","17","G","22303","Court 17","R","Girls' Singles - Third Round","Third Round","0","2:41","1467796266000","Wednesday 06 July 2016","11:26am BST","2","true","1","11.00","Complete","Anisimova","Amanda","A. Anisimova","1000070674","USA","","","","","","3","1","6","","2","","11","","","","","","false","Liu","Claire","C. Liu","wta323966","USA","","","","","","","2","4","","6","","13","","","","","","true"
"","","","","","52","Girls' Singles","GS","17","G","22308","Court 17","R","Girls' Singles - Third Round","Third Round","0","0:56","1467800786000","Wednesday 06 July 2016","12:33pm BST","3","true","1","11.00","Complete","Taylor","Gabriella","G. Taylor","wta321034","GBR","","","","","","","2","6","","6","","","","","","","","true","Masarova","Rebeka","R. Masarova","wta322087","SUI","","","","","","2","0","1","","1","","","","","","","","false"
"","","","","","53","Boys' Doubles","BD","17","H","23116","Court 17","R","Boys' Doubles - First Round","First Round","0","0:49","1467804791000","Wednesday 06 July 2016","02:18pm BST","1","true","1","11.00","Complete","Ruehl","Tim","T. Ruehl","atprh45","GER","Sultonov","Khumoyun","K. Sultonov","atpsr81","UZB","","0","4","","2","","","","","","","","false","Raisma","Kenneth","K. Raisma","atprh25","EST","Tsitsipas","Stefanos","S. Tsitsipas","atpte51","GRE","2","2","6","","6","","","","","","","","true"
"","","","","","54","Mixed Doubles","MX","17","E","5307","Court 17","R","Mixed Doubles - Third Round","Third Round","0","1:04","1467811083000","","","0","true","1","11.00","Complete","Zimonjic","Nenad","N. Zimonjic","atpz072","SRB","Chan","Yung-Jan","Y-J. Chan","wta312015","TPE","5","0","3","","6","5","","","","","","","false","Lipsky","Scott","S. Lipsky","atpl580","USA","Kudryavtseva","Alla","A. Kudryavtseva","wta311362","RUS","","2","6","","7","7","","","","","","","true"
"5","Day 8 Tuesday 5 July","16","MS,MD,LS,LD,MX,BS,BD,GS,GD,SD,OD,SL","false","1","Ladies' Singles","LS","16","B","2503","Centre Court","A","Ladies' Singles - Quarter-finals","Quarter-finals","0","1:30","1467707937000","Tuesday 05 July 2016","09:38am BST","39","true","1","1:00 PM","Complete","Halep","Simona","S. Halep","wta314320","ROU","","","","","","5","0","5","","6","2","","","","","","","false","Kerber","Angelique","A. Kerber","wta311470","GER","","","","","","4","2","7","","7","7","","","","","","","true"
"","","","","","2","Ladies' Singles","LS","16","B","2501","Centre Court","A","Ladies' Singles - Quarter-finals","Quarter-finals","0","1:13","1467713695000","Tuesday 05 July 2016","11:14am BST","36","true","1","13.00","Complete","Williams","Serena","S. Williams","wta230234","USA","","","","","","1","2","6","","6","","","","","","","","true","Pavlyuchenkova","Anastasia","A. Pavlyuchenkova","wta313796","RUS","","","","","","21","0","4","","4","","","","","","","","false"
"","","","","","3","Gentlemen's Doubles","MD","16","C","3308","Centre Court","A","Gentlemen's Doubles - Third Round","Third Round","0","3:08","1467726343000","Tuesday 05 July 2016","02:45pm BST","0","true","1","13.00","Complete","Stepanek","Radek","R. Stepanek","atps694","CZE","Zimonjic","Nenad","N. Zimonjic","atpz072","SRB","14","2","5","","7","12","4","","6","","3","","false","Bryan","Bob","B. Bryan","atpb588","USA","Bryan","Mike","M. Bryan","atpb589","USA","2","3","7","","6","10","6","","3","","6","","true"
"","","","","","4","Ladies' Singles","LS","16","B","2504","No.1 Court","B","Ladies' Singles - Quarter-finals","Quarter-finals","0","1:42","1467709010000","Tuesday 05 July 2016","09:56am BST","30","true","1","1:00 PM","Complete","Williams","Venus","V. Williams","wta230220","USA","","","","","","8","2","7","7","6","","","","","","","","true","Shvedova","Yaroslava","Y. Shvedova","wta311137","KAZ","","","","","","","0","6","5","2","","","","","","","","false"
"","","","","","5","Ladies' Singles","LS","16","B","2502","No.1 Court","B","Ladies' Singles - Quarter-finals","Quarter-finals","0","1:16","1467714707000","Tuesday 05 July 2016","11:31am BST","6","true","1","13.00","Complete","Cibulkova","Dominika","D. Cibulkova","wta312894","SVK","","","","","","19","0","2","","2","","","","","","","","false","Vesnina","Elena","E. Vesnina","wta311220","RUS","","","","","","","2","6","","6","","","","","","","","true"
"","","","","","6","Gentlemen's Doubles","MD","16","C","3301","No.1 Court","B","Gentlemen's Doubles - Third Round","Third Round","0","2:39","1467725408000","Tuesday 05 July 2016","02:30pm BST","0","true","1","13.00","Complete","Herbert","Pierre-Hugues","P. Herbert","atph996","FRA","Mahut","Nicolas","N. Mahut","atpm873","FRA","1","3","7","","3","","7","7","6","","","","true","Groth","Sam","S. Groth","atpg940","AUS","Lindstedt","Robert","R. Lindstedt","atpl335","SWE","","1","5","","6","","6","4","3","","","","false"
"","","","","","7","G. Snr. Invitation Doubles","OD","16","R","47202","No.2 Court","C","G. Snr. Invitation Doubles - ","","0","1:00","1467701210000","Tuesday 05 July 2016","07:46am BST","16","true","1","11:30 AM","Complete","Bahrami","Mansour","M. Bahrami","atpb001","IRI","McEnroe","Patrick","P. McEnroe","atpm048","USA","","0","3","","3","","","","","","","","false","Bates","Jeremy","M.J. Bates","atpb021","GBR","Jarryd","Anders","A. Jarryd","atpj006","SWE","","2","6","","6","","","","","","","","true"
"","","","","","8","G. Invitation Doubles","SD","16","T","46103","No.2 Court","C","G. Invitation Doubles - ","","1","1:14","1467706843000","Tuesday 05 July 2016","09:20am BST","3","true","1","11.30","Complete","Bjorkman","Jonas","J. Bjorkman","atpb446","SWE","Johansson","Thomas","T. Johansson","atpj129","SWE","","2","7","8","2","","10","","","","","","true","Gonzalez","Fernando","F. Gonzalez","atpg415","CHI","Moya","Carlos","C. Moya","atpm605","ESP","","1","6","6","6","","4","","","","","","false"
"","","","","","9","Gentlemen's Doubles","MD","16","C","3305","No.2 Court","C","Gentlemen's Doubles - Third Round","Third Round","0","3:15","1467720031000","Tuesday 05 July 2016","01:00pm BST","3","true","1","11.30","Complete","Pospisil","Vasek","V. Pospisil","atppd07","CAN","Sock","Jack","J. Sock","atpsm25","USA","8","2","4","","6","","7","7","5","","4","","false","Benneteau","Julien","J. Benneteau","atpb747","FRA","Roger-Vasselin","Edouard","E. Roger-Vasselin","atpr613","FRA","","3","6","","3","","6","3","7","","6","","true"
"","","","","","10","Mixed Doubles","MX","16","E","5303","No.2 Court","C","Mixed Doubles - Third Round","Third Round","0","1:55","1467728182000","Tuesday 05 July 2016","03:16pm BST","0","true","1","11.30","Complete","Monroe","Nicholas","N. Monroe","atpmb49","USA","Dabrowski","Gabriela","G. Dabrowski","wta314445","CAN","","1","5","","6","","4","","","","","","false","Farah","Robert","R. Farah","atpf525","COL","Groenefeld","Anna-Lena","A-L. Groenefeld","wta310318","GER","15","2","7","","3","","6","","","","","","true"
"","","","","","11","L. Invitation Doubles","SL","16","S","45203","No.3 Court","D","L. Invitation Doubles - ","","0","0:50","1467700500000","Tuesday 05 July 2016","07:35am BST","4","true","1","11:30 AM","Complete","Novotna","Jana","J. Novotna","wta140029","CZE","Sukova","Helena","H. Sukova","wta190110","CZE","","0","1","","2","","","","","","","","false","Navratilova","Martina","M. Navratilova","wta140007","USA","Sfar","Selima","S. Sfar","wta190473","TUN","","2","6","","6","","","","","","","","true"
"","","","","","12","Gentlemen's Singles","MS","16","A","1405","No.3 Court","D","Gentlemen's Singles - Fourth Round","Fourth Round","0","3:56","1467704822000","Tuesday 05 July 2016","08:47am BST","20","true","1","11.30","Complete","Vesely","Jiri","J. Vesely","atpv708","CZE","","","","","","","2","6","","3","","6","8","7","11","3","","false","Berdych","Tomas","T. Berdych","atpba47","CZE","","","","","","10","3","4","","6","","7","10","6","9","6","","true"
"","","","","","13","Ladies' Doubles","LD","16","D","4304","No.3 Court","D","Ladies' Doubles - Third Round","Third Round","0","1:02","1467709726000","Tuesday 05 July 2016","10:08am BST","6","true","1","11.30","Complete","Atawo","Raquel","R. Atawo","wta110551","USA","Spears","Abigail","A. Spears","wta190771","USA","10","2","6","","6","","","","","","","","true","Gavrilova","Daria","D. Gavrilova","wta315997","AUS","Kasatkina","Daria","D. Kasatkina","wta322082","RUS","","0","3","","3","","","","","","","","false"
"","","","","","14","Mixed Doubles","MX","16","E","5119","No.3 Court","D","Mixed Doubles - First Round","First Round","0","1:35","1467716600000","Tuesday 05 July 2016","12:03pm BST","1","true","1","11.30","Complete","Tursunov","Dmitry","D. Tursunov","atpt315","RUS","Petkovic","Andrea","A. Petkovic","wta310770","GER","","1","6","","3","","2","","","","","","false","Vesely","Jiri","J. Vesely","atpv708","CZE","Siniakova","Katerina","K. Siniakova","wta320301","CZE","","2","2","","6","","6","","","","","","true"
"","","","","","15","Ladies' Doubles","LD","16","D","4305","No.3 Court","D","Ladies' Doubles - Third Round","Third Round","0","1:28","1467724522000","Tuesday 05 July 2016","02:15pm BST","3","true","1","11.30","Complete","Hlavackova","Andrea","A. Hlavackova","wta080459","CZE","Hradecka","Lucie","L. Hradecka","wta310849","CZE","6","0","4","","3","","","","","","","","false","Williams","Serena","S. Williams","wta230234","USA","Williams","Venus","V. Williams","wta230220","USA","","2","6","","6","","","","","","","","true"
"","","","","","16","G. Snr. Invitation Doubles","OD","16","R","47201","No.3 Court","D","G. Snr. Invitation Doubles - ","","0","1:12","1467731198000","Tuesday 05 July 2016","04:06pm BST","0","true","1","11.30","Complete","Woodbridge","Todd","T.A. Woodbridge","atpw136","AUS","Woodforde","Mark","M. Woodforde","atpw035","AUS","","2","6","","6","","","","","","","","true","Leach","Rick","R. Leach","atpl013","USA","Pioline","Cedric","C. Pioline","atpp226","FRA","","0","4","","2","","","","","","","","false"
"","","","","","17","G. Snr. Invitation Doubles","OD","16","R","47303","Court 12","M","G. Snr. Invitation Doubles - ","","0","1:05","1467701508000","Tuesday 05 July 2016","07:51am BST","7","true","1","11:30 AM","Complete","Casal","Sergio","S. Casal","atpc024","ESP","Sanchez","Emilio","E Sanchez","atps014","ESP","","0","5","","2","","","","","","","","false","Petchey","Mark","M. Petchey","atpp222","GBR","Wilkinson","Chris","C. Wilkinson","atpw150","GBR","","2","7","","6","","","","","","","","true"
"","","","","","18","G. Invitation Doubles","SD","16","T","46104","Court 12","M","G. Invitation Doubles - ","","0","0:47","1467705634000","Tuesday 05 July 2016","09:00am BST","9","true","1","11.30","Complete","Delgado","Jamie","J. Delgado","atpd289","GBR","Krajicek","Richard","R. Krajicek","atpk214","NED","","0","3","","3","","","","","","","","false","Enqvist","Thomas","T. Enqvist","atpe113","SWE","Ivanisevic","Goran","G. Ivanisevic","atpi034","CRO","","2","6","","6","","","","","","","","true"
"","","","","","19","Mixed Doubles","MX","16","E","5302","Court 12","M","Mixed Doubles - Third Round","Third Round","0","1:06","1467710800000","Tuesday 05 July 2016","10:26am BST","0","true","1","11.30","Complete","Matkowski","Marcin","M. Matkowski","atpm844","POL","Srebotnik","Katarina","K. Srebotnik","wta190636","SLO","11","2","6","","6","","","","","","","","true","Gonzalez","Santiago","S. Gonzalez","atpg551","MEX","Parra Santonja","Arantxa","A. Parra Santonja","wta160451","ESP","","0","3","","4","","","","","","","","false"
"","","","","","20","Mixed Doubles","MX","16","E","5202","Court 12","M","Mixed Doubles - Second Round","Second Round","0","1:23","1467720503000","Tuesday 05 July 2016","01:08pm BST","1","true","1","11.30","Complete","Knowle","Julian","J. Knowle","atpk263","AUT","Zhang","Shuai","S. Zhang","wta311779","CHN","","0","3","","6","4","","","","","","","false","Qureshi","Aisam","A. Qureshi","atpq019","PAK","Shvedova","Yaroslava","Y. Shvedova","wta311137","KAZ","14","2","6","","7","7","","","","","","","true"
"","","","","","21","L. Invitation Doubles","SL","16","S","45302","Court 12","M","L. Invitation Doubles - ","","0","1:00","1467725119000","Tuesday 05 July 2016","02:25pm BST","0","true","1","11.30","Complete","Maleeva","Magdalena","M. Maleeva","wta130245","BUL","Stubbs","Rennae","R.P. Stubbs","wta190117","AUS","","2","6","","6","","","","","","","","true","Austin","Tracy","T. Austin","wta010060","USA","Testud","Sandrine","S Testud","wta200109","FRA","","0","3","","4","","","","","","","","false"
"","","","","","22","G. Snr. Invitation Doubles","OD","16","R","47304","Court 18","S","G. Snr. Invitation Doubles - ","","0","1:11","1467701961000","Tuesday 05 July 2016","07:59am BST","4","true","1","11:30 AM","Complete","Leconte","Henri","H. Leconte","atpl014","FRA","Tarango","Jeff","J. Tarango","atpt136","USA","","0","3","","5","","","","","","","","false","Eltingh","Jacco","J. Eltingh","atpe106","NED","Haarhuis","Paul","P. Haarhuis","atph223","NED","","2","6","","7","","","","","","","","true"
"","","","","","23","Mixed Doubles","MX","16","E","5201","Court 18","S","Mixed Doubles - Second Round","Second Round","0","2:07","1467710691000","Tuesday 05 July 2016","10:24am BST","4","true","1","11.30","Complete","Dodig","Ivan","I. Dodig","atpd646","CRO","Mirza","Sania","S. Mirza","wta310112","IND","1","1","6","","3","","5","","","","","","false","Skupski","Neal","N. Skupski","atpsl22","GBR","Smith","Anna","A. Smith","wta312799","GBR","","2","4","","6","","7","","","","","","true"
"","","","","","24","G. Invitation Doubles","SD","16","T","46301","Court 18","S","G. Invitation Doubles - ","","0","0:58","1467715156000","Tuesday 05 July 2016","11:39am BST","0","true","1","11.30","Complete","Ferreira","Wayne","W. Ferreira","atpf196","RSA","Grosjean","Sebastien","S. Grosjean","atpg379","FRA","","0","3","","4","","","","","","","","false","Rusedski","Greg","G. Rusedski","atpr237","GBR","Santoro","Fabrice","F. Santoro","atps424","FRA","","2","6","","6","","","","","","","","true"
"","","","","","25","Mixed Doubles","MX","16","E","5306","Court 18","S","Mixed Doubles - Third Round","Third Round","0","1:00","1467719854000","Tuesday 05 July 2016","12:57pm BST","3","true","1","11.30","Complete","Bopanna","Rohan","R. Bopanna","atpb757","IND","Rodionova","Anastasia","A. Rodionova","wta180356","AUS","13","0","6","5","3","","","","","","","","false","Cabal","Juan-Sebastian","J. Cabal","atpc834","COL","Duque-Marino","Mariana","M. Duque-Marino","wta312572","COL","","2","7","7","6","","","","","","","","true"
"","","","","","26","G. Invitation Doubles","SD","16","T","46302","Court 18","S","G. Invitation Doubles - ","","1","1:12","1467728756000","Tuesday 05 July 2016","03:25pm BST","0","true","1","11.30","Complete","Gimelstob","Justin","J. Gimelstob","atpg354","USA","Hutchins","Ross","R. Hutchins","atph635","GBR","","2","2","","6","","10","","","","","","true","Chang","Michael","M. Chang","atpc274","USA","Philippoussis","Mark","M. Philippoussis","atpp338","AUS","","1","6","","3","","4","","","","","","false"
"","","","","","27","Boys' Singles","BS","16","F","21203","Court 4","E","Boys' Singles - Second Round","Second Round","0","1:38","1467701466000","Tuesday 05 July 2016","07:51am BST","2","true","1","11:00 AM","Complete","Karimov","Jurabek","J. Karimov","atpkg72","UZB","","","","","","11","2","7","","6","","","","","","","","true","Clarke","Jay","J. Clarke","atpci14","GBR","","","","","","","0","5","","4","","","","","","","","false"
"","","","","","28","Boys' Singles","BS","16","F","21202","Court 4","E","Boys' Singles - Second Round","Second Round","0","1:11","1467706786000","Tuesday 05 July 2016","09:19am BST","4","true","1","11.00","Complete","Draper","Ben","B. Draper","1000066682","GBR","","","","","","","0","3","","6","4","","","","","","","false","Furness","Evan","E. Furness","atpfc26","FRA","","","","","","","2","6","","7","7","","","","","","","true"
"","","","","","29","Girls' Singles","GS","16","G","22208","Court 4","E","Girls' Singles - Second Round","Second Round","0","2:24","1467716778000","Tuesday 05 July 2016","12:06pm BST","2","true","1","11.00","Complete","Burrage","Jodie Anna","J. Burrage","1000066519","GBR","","","","","","","1","5","","6","","2","","","","","","false","Yastremska","Dayana","D. Yastremska","wta324261","UKR","","","","","","7","2","7","","4","","6","","","","","","true"
"","","","","","30","Boys' Doubles","BD","16","H","23104","Court 4","E","Boys' Doubles - First Round","First Round","0","0:57","1467721441000","Tuesday 05 July 2016","01:24pm BST","1","true","1","11.00","Complete","Davidovich Fokina","Alejandro","A. Davidovich Fokina","atpdh50","ESP","Popyrin","Alexei","A. Popyrin","atpp09z","AUS","","2","7","7","6","","","","","","","","true","Chung","Yunseong","Y. Chung","atpch90","KOR","Clarke","Jay","J. Clarke","atpci14","GBR","5","0","6","5","2","","","","","","","","false"
"","","","","","31","Boys' Singles","BS","16","F","21213","Court 5","F","Boys' Singles - Second Round","Second Round","0","0:38","1467697853000","Tuesday 05 July 2016","06:50am BST","3","true","1","11:00 AM","Retired","Blancaneaux","Geoffrey","G. Blancaneaux","atpbu54","FRA","","","","","","8","0","5","","","","","","","","","15","true","Storrie","Ryan James","R. Storrie","atpsy31","GBR","","","","","","","0","3","","","","","","","","","30","false"
"","","","","","32","Boys' Singles","BS","16","F","21205","Court 5","F","Boys' Singles - Second Round","Second Round","0","1:13","1467704966000","Tuesday 05 July 2016","08:49am BST","1","true","1","11.00","Complete","Valkusz","Mate","M. Valkusz","atpva70","HUN","","","","","","4","2","7","","6","","","","","","","","true","Hammond","Luke","L. Hammond","1000066873","GBR","","","","","","","0","5","","1","","","","","","","","false"
"","","","","","33","Girls' Singles","GS","16","G","22215","Court 5","F","Girls' Singles - Second Round","Second Round","0","0:59","1467709755000","Tuesday 05 July 2016","10:09am BST","5","true","1","11.00","Complete","Stefanini","Lucrezia","L. Stefanini","wta323149","ITA","","","","","","","0","2","","2","","","","","","","","false","Taylor","Gabriella","G. Taylor","wta321034","GBR","","","","","","","2","6","","6","","","","","","","","true"
"","","","","","34","Boys' Doubles","BD","16","H","23115","Court 5","F","Boys' Doubles - First Round","First Round","0","1:21","1467715918000","Tuesday 05 July 2016","11:51am BST","0","true","1","11.00","Complete","Siimar","Mattias","M. Siimar","atpsx94","EST","Tang","Anthony Jackie","A. Tang","atptg50","HKG","","2","7","7","6","","","","","","","","true","Benchetrit","Elliot","E. Benchetrit","atpbt68","FRA","Blancaneaux","Geoffrey","G. Blancaneaux","atpbu54","FRA","","0","6","3","4","","","","","","","","false"
"","","","","","35","Girls' Doubles","GD","16","I","24109","Court 5","F","Girls' Doubles - First Round","First Round","0","1:31","1467727747000","Tuesday 05 July 2016","03:09pm BST","0","true","1","11.00","Complete","Hontama","Mai","M. Hontama","wta324750","JPN","Muramatsu","Chihiro","C. Muramatsu","wta323095","JPN","7","0","4","","3","","","","","","","","false","Helgo","Malene","M. Helgo","wta323055","NOR","Minca","Ioana","I. Minca","wta323120","ROU","","2","6","","6","","","","","","","","true"
"","","","","","36","Boys' Singles","BS","16","F","21214","Court 6","G","Boys' Singles - Second Round","Second Round","0","1:23","1467700738000","Tuesday 05 July 2016","07:38am BST","2","true","1","11:00 AM","Complete","Wu","Tung-Lin","T. Wu","atpw857","TPE","","","","","","","0","6","5","1","","","","","","","","false","Kecmanovic","Miomir","M. Kecmanovic","atpki95","SRB","","","","","","12","2","7","7","6","","","","","","","","true"
"","","","","","37","Girls' Singles","GS","16","G","22209","Court 6","G","Girls' Singles - Second Round","Second Round","0","1:23","1467707261000","Tuesday 05 July 2016","09:27am BST","2","true","1","11.00","Complete","Andreescu","Bianca Vanessa","B. Andreescu","1000066353","CAN","","","","","","6","2","6","","6","","","","","","","","true","Arias Manjon","Paula","P. Arias Manjon","wta323176","ESP","","","","","","","0","4","","4","","","","","","","","false"
"","","","","","38","Girls' Singles","GS","16","G","22202","Court 6","G","Girls' Singles - Second Round","Second Round","0","1:53","1467715326000","Tuesday 05 July 2016","11:42am BST","0","true","1","11.00","Complete","Sanford","Alexandra","A. Sanford","wta322467","USA","","","","","","","2","6","","3","","6","","","","","","true","Hontama","Mai","M. Hontama","wta324750","JPN","","","","","","16","1","3","","6","","1","","","","","","false"
